reqrate,prefixlen,relay,total_time,throughput,avg_latency,avg_per_token_latency,avg_per_output_token_latency,avg_time_to_fisrt_token
12.0,256.0,true,136.6972119482234,7.315438155232957,22.53366643260792,0.053910627090351965,0.1306954828233533,-6802410.503874627
16.0,1024.0,true,134.30304445046932,7.445847591108018,30.660058680239132,0.08104039000271002,0.2854516058149303,-6800434.855762214
4.0,1024.0,false,292.2188569669961,3.4220926410404187,25.429405608717047,0.06696294652670472,0.24415737219791508,-122748.13413644013
10.0,512.0,true,131.65393243171275,7.5956713295950165,13.7277232816685,0.031382059019163466,0.05804752152282033,-6796820.565571441
2.0,2048.0,true,509.77232686337084,1.961660033907686,3.631120063801296,0.00816428962998382,0.015791622116598313,-6801554.833760771
4.0,128.0,true,259.597105902998,3.852123067865262,4.167057628880778,0.009362177748910997,0.01796090081778949,-125806.66971573059
16.0,512.0,false,199.23979496397078,5.019077640492621,69.39909440086502,0.23662153873599162,1.3656514495825167,-3438017.8056918737
2.0,256.0,false,508.9727917741984,1.9647415660749932,3.4722861350802705,0.007839259917776151,0.015585704567763202,-6802617.209376314
4.0,2048.0,true,260.72859916090965,3.8354058711558765,4.70164716468472,0.010555447641495736,0.02025158201406868,-6801428.813055574
14.0,512.0,true,132.8625514721498,7.5265753135082365,26.097287510942667,0.06570569633592666,0.19572939621250604,-6796805.719557505
2.0,512.0,false,509.37639992400364,1.9631847885948288,3.9520327167071665,0.008962142026472247,0.018165137839585,-121800.35379651246
8.0,2048.0,false,471.25130366627127,2.122010044789554,178.21266135666798,0.6764325749472351,4.2888619861157276,-6801367.621423731
4.0,512.0,false,263.5157236158848,3.7948399673396938,7.861713583259843,0.01785727831656437,0.035071904297415774,-6799446.959165355
12.0,1024.0,true,132.3336820120021,7.556655152308875,20.856142282315865,0.049375736347734005,0.112962680795174,-122664.17956997696
10.0,512.0,false,206.6712750857696,4.838601782395716,53.80313922606129,0.17357387194556662,0.9357147894057595,-6796539.361652063
16.0,512.0,true,122.5186586054042,8.162022106532358,25.57205434884038,0.06571046402391587,0.20942707912250175,-6798173.009560097
16.0,2048.0,false,459.6517431875691,2.1755601165901206,204.32600075226696,0.7827464076206522,4.998633069900322,-3439994.2128567933
12.0,128.0,true,136.84995733108371,7.307273012739645,22.579809999207036,0.054053751166758104,0.13169647870750875,-6803497.54902734
12.0,2048.0,true,133.8915393613279,7.46873181658879,21.468562373672146,0.051083306013931275,0.1197840581758262,-3440002.593148594
4.0,2048.0,false,473.98814210575074,2.1097574204227487,116.65813577828929,0.42905352411844344,2.6438474894291453,-6801428.677005061
2.0,2048.0,false,514.9736697580665,1.9418468530047328,13.149093030290679,0.03036857251261717,0.06293610642112922,-6801555.418062626
12.0,1024.0,false,283.08542237499205,3.532502633340616,103.03387045884081,0.3741743782008057,2.286384319092014,-122665.83135753438
4.0,1024.0,true,260.2184675624594,3.8429247907240605,4.573946542528458,0.010267716091996826,0.0197122089441824,-6800526.192541834
14.0,2048.0,true,130.65288699883968,7.653868375743438,25.445778879174963,0.0642422992990715,0.19023749392911413,-3435527.428811625
16.0,2048.0,true,133.29751662584022,7.50201523113857,29.864003936935216,0.07823568785480263,0.26984897291825743,-3439994.0173136834
16.0,128.0,false,138.59242823254317,7.215401394960104,34.774288723522794,0.09854012183480157,0.41710908964811017,-6803488.425631663
