nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,512,vllm+,4.151877680583763,4111.2640131122935,1017.7248645754145
1000,512,vllm,2.269023295182905,2246.8277093094257,556.1920662084144
1000,1024,vllm+,4.073097356937506,6118.680165343946,998.4139165219491
1000,1024,vllm,1.4946351125624309,2245.2677695233097,366.3709373317533
1000,2048,vllm+,3.9737604845540284,10038.58526376911,974.0640650158217
1000,2048,vllm,0.911692480390412,2303.133954426906,223.47770756321933
1000,256,vllm+,4.138736909440414,3038.7351361755223,1014.5037461896721
1000,256,vllm,3.037958824974244,2230.5240525549398,744.6766190129866
1000,128,vllm+,4.179318324855184,2533.57799625706,1024.4512250618022
1000,128,vllm,3.6028564217496593,2184.116414280235,883.1465775249634
1000,64,vllm+,4.200140268725215,2277.391656227648,1029.5551832309993
1000,64,vllm,3.947657839941158,2140.491138657215,967.6656803577364
1000,512,vllm+pc,3.2615373552694664,3229.632996860221,799.4810826730727
1000,1024,vllm+pc,2.6386100160717025,3963.767461123201,646.7866415795601
1000,2048,vllm+pc,1.90208896604764,4805.091383630937,466.24765571346177
1000,64,vllm+pc,4.064440241069021,2203.812658631962,996.2918496518026
1000,128,vllm+pc,3.927977016117164,2381.2103707565147,962.8414380987037
1000,256,vllm+pc,3.6788864690358016,2701.104665522528,901.7833668359318
