nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,64,vllm+,6.781414830314679,3677.0051864635648,1662.2875288660555
1000,64,vllm,6.35135898071289,3443.8211638041817,1556.8705187882665
1000,128,vllm+,6.762836441851327,4099.753182106228,1657.7335199723648
1000,128,vllm,5.8886963904784535,3569.833748443067,1443.4608140196406
1000,256,vllm+,6.633275024201804,4870.2699217194,1625.974907032443
1000,256,vllm,5.098837063459125,3743.6579510588317,1249.8473363433545
1000,512,vllm+,6.718391247533633,6652.671944350259,1646.8389361604343
1000,512,vllm,3.903798351125301,3865.6113956545933,956.9146670212383
1000,1024,vllm+,6.626194302126191,9953.988352151402,1624.2392521143804
1000,1024,vllm,2.631271345217453,3952.7431776698722,644.987757225083
1000,2048,vllm+,6.490468530632331,16396.338430516946,1590.9696081027196
1000,2048,vllm,1.5019473363398992,3794.246396113908,368.16333887298146
1000,512,vllm+pc,4.834392126740481,4787.1021029567055,1185.0255356751336
1000,1024,vllm+pc,3.7942328593049903,5699.764897439423,930.0575354042765
1000,2048,vllm+pc,3.029822734017785,7653.992727484941,742.6822678533755
1000,64,vllm+pc,6.333290867585444,3434.024307640444,1552.4415906260144
1000,128,vllm+pc,5.961882868143252,3614.2007085600653,1461.4005761707463
1000,256,vllm+pc,5.0580931525230755,3713.743038259188,1239.8600259190664
