nreqs,ctxlen,outlen,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,64,128,512,vllm+,17.714305526474107,12470.871090637771,2267.4311073886856
1000,64,128,512,vllm,4.872993595829804,3430.5874914641827,623.743180266215
1000,64,128,1024,vllm+,17.462929909044696,21234.922769398352,2235.255028357721
1000,64,128,1024,vllm,2.798119292310584,3402.5130594496704,358.15926941575475
1000,64,128,2048,vllm+,17.03264370964945,38153.12190961476,2180.1783948351294
1000,64,128,2048,vllm,1.4999013215728652,3359.778960323218,191.98736916132674
1000,64,128,64,vllm+,17.828020535977124,4563.973257210144,2281.986628605072
1000,64,128,64,vllm,13.611661272295347,3484.585285707609,1742.2926428538044
1000,64,128,128,vllm+,17.845299848128988,5710.495951401275,2284.1983805605105
1000,64,128,128,vllm,10.04700197906087,3215.040633299478,1286.0162533197913
1000,64,128,256,vllm+,17.793706632203964,7971.580571227375,2277.5944489221074
1000,64,128,256,vllm,7.280653226510157,3261.7326454765503,931.9236129933001
1000,128,256,512,vllm+,6.178658740009748,5536.078231048734,1581.7366374424955
1000,128,256,512,vllm,2.6103914882416794,2338.910773464545,668.2602209898699
1000,128,256,1024,vllm+,6.112657805892396,8606.622190696493,1564.8403983084534
1000,128,256,1024,vllm,1.6364516956082313,2304.1239874163894,418.9316340757072
1000,128,256,2048,vllm+,5.965556565973095,14508.233568446567,1527.1824808891124
1000,128,256,2048,vllm,0.9352144981423902,2274.441659482293,239.4149115244519
1000,128,256,64,vllm+,6.242728249485043,2796.7422557692994,1598.138431868171
1000,128,256,64,vllm,5.184891500122943,2322.8313920550786,1327.3322240314735
1000,128,256,128,vllm+,6.219345294603116,3184.3047908367953,1592.1523954183976
1000,128,256,128,vllm,4.564341533350429,2336.94286507542,1168.47143253771
1000,128,256,256,vllm+,6.214342047807798,3977.1789105969906,1590.8715642387963
1000,128,256,256,vllm,3.7209494236571152,2381.407631140554,952.5630524562215
1000,256,512,512,vllm+,2.0583575909601826,2634.697716429034,1053.8790865716135
1000,256,512,512,vllm,1.167998881886401,1495.0385688145934,598.0154275258374
1000,256,512,1024,vllm+,2.040018465558714,3655.713090281216,1044.4894543660616
1000,256,512,1024,vllm,0.8063688984199542,1445.0130659685578,412.86087599101654
1000,256,512,2048,vllm+,2.0033737328943553,5641.500431830505,1025.72735124191
1000,256,512,2048,vllm,0.5011391826277058,1411.2079382796198,256.5832615053854
1000,256,512,64,vllm+,2.0772051467071746,1728.2346820603693,1063.5290351140734
1000,256,512,64,vllm,1.9406253267935396,1614.600271892225,993.6001673182923
1000,256,512,128,vllm+,2.073412499116775,1857.7775992086304,1061.5871995477887
1000,256,512,128,vllm,1.7821277524215229,1596.7864661696844,912.4494092398197
1000,256,512,256,vllm+,2.062508506467705,2112.00871062293,1056.004355311465
1000,256,512,256,vllm,1.5163014065691582,1552.692640326818,776.346320163409
1000,64,128,512,vllm+pc,10.862160336140946,7646.960876643226,1390.356523026041
1000,64,128,1024,vllm+pc,7.812449444728331,9499.93852478965,999.9935289252263
1000,64,128,2048,vllm+pc,4.983714710709183,11163.52095198857,637.9154829707754
1000,64,128,256,vllm+pc,13.476279570320221,6037.373247503459,1724.9637850009883
1000,64,128,128,vllm+pc,15.320237433818383,4902.475978821883,1960.990391528753
1000,64,128,64,vllm+pc,16.42596309016974,4205.046551083454,2102.523275541727
1000,128,256,512,vllm+pc,4.280791491823878,3835.589176674195,1095.8826219069128
1000,128,256,1024,vllm+pc,3.2582063999409145,4587.554611116808,834.1008383848741
1000,128,256,2048,vllm+pc,2.1935185599978606,5334.637137914798,561.5407513594523
1000,128,256,256,vllm+pc,5.071687307534621,3245.8798768221573,1298.351950728863
1000,128,256,128,vllm+pc,5.579478996383961,2856.693246148588,1428.346623074294
1000,128,256,64,vllm+pc,5.876329402113688,2632.595572146932,1504.3403269411042
1000,256,512,512,vllm+pc,1.5980585906612115,2045.5149960463507,818.2059984185403
1000,256,512,1024,vllm+pc,1.2897298442169989,2311.1958808368618,660.3416802391034
1000,256,512,2048,vllm+pc,0.9258394796059352,2607.1639745703137,474.0298135582388
1000,256,512,256,vllm+pc,1.8096143028201985,1853.0450460878833,926.5225230439416
1000,256,512,128,vllm+pc,1.933350577805198,1732.2821177134574,989.8754958362614
1000,256,512,64,vllm+pc,1.9971974197906972,1661.6682532658601,1022.565078932837
